readable_name,U,B,V,UVM2,UVW1,UVW2,WHITE
V404Cyg,79 (52),22 (22),23 (24),16 (3),63 (8),7 (0),3 (3)
Swift J0243.6+6124,27 (27),31 (31),31 (36),38 (38),13 (13),19 (19),1 (1)
SS433,5 (5),7 (7),1 (1),4 (0),7 (7),4 (4),0
SMC X-3,12 (8),3 (1),2 (2),11 (10),6 (5),2 (2),0
IC10 X-1,119 (117),0,0,5 (0),3 (3),3 (3),0
M31 ULX-1,36 (31),3 (2),3 (2),84 (28),373 (354),76 (65),0
M33 ULX-1,4 (4),0,0,3 (2),5 (5),2 (2),0
NGC300 ULX-1,18 (18),48 (48),43 (49),21 (21),28 (28),32 (32),0
NGC55 ULX,20 (20),3 (3),3 (3),29 (28),36 (36),15 (15),0
IC342 ULX-1,11 (9),1 (1),1 (1),12 (1),10 (8),13 (5),0
IC342 ULX-2,9 (3),1 (0),1 (0),12 (0),10 (3),13 (0),0
Holmberg II X-1,98 (98),3 (3),3 (3),31 (31),52 (52),46 (46),0
NGC4945 XMM-1,3 (3),3 (3),3 (3),39 (38),22 (21),36 (34),0
M81 X-6,43 (36),86 (84),85 (77),52 (40),132 (127),314 (300),0
M82 X-2,81 (81),41 (41),41 (41),108 (108),100 (100),98 (98),0
NGC253 X-2,6 (4),7 (7),7 (7),1 (1),2 (2),1 (1),0
NGC253 X-9,6 (4),7 (7),7 (7),1 (1),2 (2),1 (1),0
NGC247 ULX-1,21 (20),1 (1),1 (1),69 (69),53 (53),25 (25),0
NGC7793 P13,258 (258),2 (2),2 (0),25 (25),14 (14),12 (12),0
Holmberg IX X-1,43 (41),24 (14),0,53 (51),132 (129),174 (172),0
NGC1313 X-1,280 (278),5 (5),0,92 (92),49 (49),58 (58),0
NGC1313 X-2,280 (264),5 (3),0,93 (91),49 (49),58 (57),0
NGC5204 ULX-1,35 (35),0,0,21 (21),3 (3),6 (6),0
UGC6456 ULX,6 (6),5 (5),1 (2),13 (13),6 (6),4 (4),0
NGC4395 ULX-1,12 (12),138 (129),1 (1),42 (42),13 (13),45 (45),0
M83 ULX-2,31 (31),6 (6),6 (6),20 (20),10 (10),8 (8),0
M83 ULX-1,31 (31),6 (6),6 (6),20 (20),10 (10),8 (8),0
NGC5408 ULX-1,0,0,0,147 (147),0,0,0
NGC6946 ULX-1,1 (1),88 (87),92 (91),13 (7),1 (1),1 (0),0
NGC6946 ULX-3,1 (1),88 (83),92 (79),13 (5),1 (1),1 (0),0
M101 ULX-1,1 (1),57 (57),55 (55),23 (13),5 (4),8 (6),0
M51 ULX-7,56 (56),66 (66),1 (1),58 (58),33 (33),47 (47),0
NGC5585 ULX,0,0,0,16 (15),0,0,0
NGC4559 ULX-1,15 (15),7 (7),7 (9),12 (12),46 (46),10 (10),1 (1)
NGC925 ULX-1,16 (16),0,0,29 (29),27 (27),26 (26),0
NGC925 ULX-2,16 (16),0,0,29 (29),27 (27),26 (26),0
NGC7090 ULX-3,10 (10),2 (2),2 (2),10 (10),8 (8),4 (4),0
NGC5907 ULX,147 (147),0,0,161 (160),98 (97),104 (104),0
NGC1365 X-2,9 (9),62 (62),60 (64),51 (51),4 (4),12 (12),1 (1)
NGC1365 X-1,9 (8),62 (61),60 (57),51 (50),4 (3),12 (12),1 (1)
NGC1042 ULX-1,8 (6),5 (2),5 (2),2 (1),4 (2),4 (3),0
ESO 243-49 HLX-1,0,0,0,0,0,0,0
