simbad_name,readable_name,OBS,UL,BAD,GOOD,FULL_mu,FULL_std,SOFT_mu,SOFT_std,HARD_mu,HARD_std,HR_mu,HR_std
ESO_243-49_HLX-1,ESO 243-49 HLX-1,626,416,546,80,0.029280917375,0.009471140058843617,0.027246987499999997,0.010348885588501422,0.0017859874999999997,0.0017548801646399778,0.07804952564102564,0.08415809150960052
[LM2005]_NGC_1042_ULX1,NGC1042 ULX-1,21,1,13,8,0.030968104999999996,0.008821408369768887,0.015691249999999997,0.0059876242546009605,0.015679875,0.0049171481408724835,1.1106045,0.5836886919448463
NAME_NGC_1365-X1,NGC1365 X-1,139,48,139,0,,,,,,,,
[SK2009]_X2,NGC1365 X-2,139,48,139,0,,,,,,,,
NAME_NGC_5907_ULX,NGC5907 ULX,578,221,501,77,0.030918972649350646,0.06327727942919835,0.013299805194805196,0.06437089845738951,0.01734088311688312,0.009744789201325179,2.9859136184210526,6.044516809343406
NAME_NGC_7090_ULX3,NGC7090 ULX-3,34,15,34,0,,,,,,,,
NAME_NGC_925_ULX-2,NGC925 ULX-2,98,7,59,39,0.01686178684615384,0.004158932486912961,0.00751425641025641,0.0017815337230060583,0.009379717948717949,0.003885766509418958,1.3498650769230771,0.6875179978273251
NAME_NGC_925_ULX-1,NGC925 ULX-1,98,0,7,91,0.05400583021978021,0.02805772462145195,0.02160107692307692,0.010616377446851497,0.03258821978021978,0.018567024447661205,1.530446879120879,0.49828994699701223
[LM2005]_NGC_4559_ULX1,NGC4559 ULX-1,117,1,8,109,0.042243419816513764,0.02180570532328243,0.02731514423076923,0.013931072852571539,0.015532365384615384,0.009870781858899254,0.6038323942307693,0.2788471361304326
[SST2011]_J141939.39+564137.8,NGC5585 ULX,16,3,14,2,0.0157583,0.0021140512858490446,0.005335,0.0015429069965490468,0.010422,0.0036557420587344505,2.1421885,1.3049068748169352
RX_J133001+47137,M51 ULX-7,318,116,143,175,0.017658411805714286,0.010252336011700879,0.009698565217391306,0.004901473341207624,0.008314617391304348,0.005278136514230452,0.7220115304347827,2.021942110869717
NAME_M101-ULX1,M101 ULX-1,117,1,8,109,0.042243419816513764,0.02180570532328243,0.02731514423076923,0.013931072852571539,0.015532365384615384,0.009870781858899254,0.6038323942307693,0.2788471361304326
[LB2005]_NGC_6946_ULX3,NGC6946 ULX-3,119,1,5,114,0.042038422719298245,0.015024694073991698,0.026620157894736842,0.009637204848117692,0.01566048245614035,0.007252506280538268,0.6135700614035088,0.24103822234504985
[LB2005]_NGC_6946_ULX1,NGC6946 ULX-1,119,45,117,2,0.015621145,0.000468663303502633,0.010059499999999999,0.0002892066735052989,0.0057339999999999995,0.0010026774157225243,0.57167,0.11612531824714194
[LM2005]_NGC_5408_ULX1,NGC5408 ULX-1,499,4,20,479,0.08140055849686847,0.02299592738511892,0.06342927557411274,0.0163844099840797,0.017768173277661795,0.006192960651328882,0.2913007494780793,0.11134978638546073
NAME_M83_ULX-1,M83 ULX-1,99,4,59,40,0.043682816925,0.031819233023741525,0.028528075000000003,0.023940105281549343,0.013602200000000004,0.010464271959925452,0.56163275,0.5033374418422445
[LB2005]_NGC_5236_X11,M83 ULX-2,98,6,29,69,0.022391177405797102,0.011480970332747153,0.013602768115942028,0.0066241686385026,0.008958710144927533,0.005999718312263769,0.6848512318840578,0.3142604227866335
[LM2005]_NGC_4395_ULX1,NGC4395 ULX-1,261,23,118,143,0.02796712662237762,0.014376596423531913,0.024103951048951047,0.01120824994338374,0.0038909720279720283,0.00475423951642045,0.14789334507042254,0.13467748923993306
NAME_UGC_6456_ULX,UGC6456 ULX,35,12,23,12,0.032981318333333336,0.015019351261007388,0.015956083333333333,0.00818786580538358,0.017024333333333332,0.008158667742550455,1.5793491666666666,1.7999890618766565
[LM2005]_NGC_5204_ULX1,NGC5204 ULX-1,79,1,3,76,0.06018852710526317,0.015901386840744915,0.03817623684210527,0.011282034061129723,0.0221615,0.007109201844557986,0.601980144736842,0.2007728729604478
NAME_NGC_1313_X-2,NGC1313 X-2,510,5,53,457,0.06142814538293216,0.031178206334770673,0.025686218818380745,0.010842663407879769,0.035997890590809635,0.022482808560903796,1.3715713947368422,0.6220598599290341
NAME_NGC_1313_X-1,NGC1313 X-1,510,2,7,503,0.11372323819085488,0.06358402341097097,0.054674612326043745,0.02581432977005019,0.05956245526838965,0.0403604646968701,1.0765286254980082,0.3023060339690213
NAME_Holmberg_IX_X-1,Holmberg IX X-1,702,5,9,693,0.28225706326118327,0.1289391417824472,0.11929420991253643,0.04630083436794149,0.1627141253644315,0.07593302938308395,1.3538366266471449,0.2996470545631072
NAME_NGC_7793_P13,NGC7793 P13,363,85,129,234,0.07014056683760683,0.03366069238723781,0.0273074188034188,0.013905127850720431,0.04293316666666667,0.02161951048014935,1.6645648798283261,0.6107917134951691
[LM2005]_NGC_247_ULX1,NGC247 ULX-1,182,7,65,117,0.021976999470085475,0.009670430403350172,0.020302051282051283,0.008081057921787128,0.0017046495726495726,0.0023236342051290056,0.07982283760683762,0.08927206744514377
[LB2005]_NGC_253_X9,NGC253 X-9,15,1,5,10,0.024675561300000003,0.009815929400381538,0.0141685,0.005347984900876217,0.0104992,0.008239162724452043,0.8047909000000001,0.6190654190859799
[LB2005]_NGC_253_X2,NGC253 X-2,17,0,3,14,0.1480271357142857,0.04358561043261881,0.07379857142857141,0.019488733754163184,0.07525664285714286,0.02718461340426898,1.0234138571428573,0.24269155410579435
M82_X-2,M82 X-2,429,9,0,429,1.9136742554778556,0.41075862995774776,1.2015842843822844,0.25334463444702454,0.7115822727272726,0.20505538530359843,0.599670650831354,0.16473871123754957
[LM2005]_NGC_3031_ULX1,M81 X-6,706,28,57,649,0.06089665533127887,0.10332919459900512,0.022858568992248057,0.0090680141808176,0.03407896589147287,0.01745705281021715,1.567423191588785,1.0488994651810135
[WMR2006]_NGC4945_XMM1,NGC4945 XMM-1,145,7,29,116,0.045641121068965514,0.019493635499331245,0.017677508620689654,0.009082741686723846,0.028217784482758617,0.01222708758226802,1.758088773913044,0.7169864428421378
Holmberg_II_X-1,Holmberg II X-1,231,7,4,227,0.15718930814977974,0.08029011367112955,0.10149498678414096,0.0536553570747452,0.05566334801762114,0.031484236648426145,0.5367434954545455,0.23619307721655897
[BBL2003b]_IC_342_X-2,IC342 ULX-2,51,0,5,46,0.05741253673913044,0.034780122762995025,0.004083999999999999,0.0029689063979856287,0.05347978260869565,0.03255823284374086,8.281559173913044,39.38851230170449
[LM2005]_IC_342_ULX1,IC342 ULX-1,52,0,4,48,0.11063011479166668,0.0578670312118019,0.023780375000000003,0.011949811916306731,0.08721522916666669,0.04753264118980009,3.6677551666666672,0.9735707189737569
[SRW2006b]_NGC_55_ULX,NGC55 ULX,186,2,8,178,0.07051892089887642,0.03166905468526729,0.04986416853932584,0.019830136331366623,0.02096125280898876,0.01404147753456899,0.4138696214689266,0.1712916746828882
NAME_NGC_300_ULX1,NGC300 ULX-1,164,77,0,164,0.04118004560365853,0.13557026424844065,0.012854640243902439,0.018493296134680703,0.022373567073170734,0.08988087485302514,0.6537773619631901,2.334596716440883
[LM2005]_NGC_598_ULX1,M33 ULX-1,27,0,0,27,0.5256976592592593,0.0795303577805417,0.258499,0.05962758510312798,0.26949370370370374,0.02633148093327835,1.0919472222222222,0.10956228944104858
M31_ULX-1,M31 ULX-1,610,567,581,29,0.18414060724137926,0.2959429089053876,0.005039500000000001,0.0007771103525240159,-0.000578,0.001564120199984643,-0.14032650000000002,0.33207360790117
NAME_IC_10_X-1,IC10 X-1,145,7,29,116,0.045641121068965514,0.019493635499331245,0.017677508620689654,0.009082741686723846,0.028217784482758617,0.01222708758226802,1.758088773913044,0.7169864428421378
SMC_X-3,SMC X-3,413,217,259,154,5.470648847077922,9.96583003138854,2.0216870844155843,3.83089090664697,3.463328461038961,6.211497066206515,2.741899,1.4147269816097274
SS433,SS433,33,2,3,30,2.0298276499999997,1.119599159603017,0.3647611666666667,0.14939644281253897,1.6735975333333333,0.9854632889862001,4.3312072,1.294105428837777
SWIFT_J0243.6+6124,Swift J0243.6+6124,127,6,23,104,394.57768250115384,847.8843149916269,66.33732641346154,150.91751311769792,329.55246771153844,700.1547125957202,8.678815921568626,5.995090548224123
NOVA_Cyg_1989,V404Cyg,190,21,36,154,94.29056351487014,755.6184961048875,26.728718391999998,181.02603729712553,89.78110996800002,660.5601025522177,5.167103226890756,9.005021159112468
