source_name,RA,DEC,$\lambda$,POS_REF,D,D_unit,D_method,D_ref
IC10 X-1,00 20 29.09,+59 16 51.9,X,2004ApJ...601L..67B,0.7943,Mpc,redshift,2019A&A...631A..38L
M31 ULX-1,00 42 53.15,+41 14 22.9,X,2012A&A...538A..49K,0.8200,Mpc,T-RDB,2017AJ....153....6K
M33 ULX-1,01 33 50.8965,+30 39 36.630,O,2020yCat.1350....0G,0.9300,Mpc,T-RDB,2017AJ....153....6K
NGC300 ULX-1,00 55 04.86,-37 41 43.7,,2008yCat....1.2024B,2.0230,Mpc,redshift,2019A&A...631A..38L
NGC55 ULX,00 15 28.89,-39 13 18.8,X,2012ApJ...756...27L,2.1100,Mpc,T-RDB,2017AJ....153....6K
IC342 ULX-1,03 45 55.612,+68 04 55.29,O,2008ApJ...675.1067F,3.4356,Mpc,redshift,2019A&A...631A..38L
IC342 ULX-2,03 46 15.61,+68 11 12.8,X,2014MNRAS.442.1054H,3.4356,Mpc,redshift,2019A&A...631A..38L
NGC4945 XMM-1,13 05 32.89,-49 27 34.1,,2004ApJS..154..519S,3.4674,Mpc,redshift,2019A&A...631A..38L
Holmberg II X-1,08 19 28.99,+70 42 19.4,X,2014MNRAS.442.1054H,3.4674,Mpc,redshift,2019A&A...631A..38L
M81 X-6,09 55 32.95,+69 00 33.6,X,2014MNRAS.442.1054H,3.5975,Mpc,redshift,2019A&A...631A..38L
M82 X-2,09 55 51.040,+69 40 45.49,,2006ApJ...646..174K,3.6141,Mpc,redshift,2019A&A...631A..38L
NGC253 X-2,00 47 32.97,-25 17 50.2,,2005ApJS..157...59L,3.6983,Mpc,redshift,2019A&A...631A..38L
NGC253 X-9,00 47 22.59,-25 20 50.9,X,2014MNRAS.442.1054H,3.6983,Mpc,redshift,2019A&A...631A..38L
NGC247 ULX-1,00 47 04.00,-20 47 45.7,,2005ApJS..157...59L,3.7200,Mpc,T-RDB,2017AJ....153....6K
NGC7793 P13,23 57 50.90,-32 37 26.6,,2011AJ....142...20P,3.7325,Mpc,redshift,2019A&A...631A..38L
Holmberg IX X-1,09 57 53.290,+69 03 48.20,O,2009ApJS..182..543A,3.8500,Mpc,T-RDB,2017AJ....153....6K
NGC1313 X-1,03 18 20.00,-66 29 10.9,X,2014MNRAS.442.1054H,4.2500,Mpc,,2016AJ....152...50T
NGC1313 X-2,03 18 22.00,-66 36 04.3,,2005ApJS..157...59L,4.2500,Mpc,,2016AJ....152...50T
NGC5204 ULX-1,13 29 38.62,+58 25 05.6,X,2014MNRAS.442.1054H,4.5900,Mpc,T-RDB,2017AJ....153....6K
UGC6456 ULX,11 28 03.000,+78 59 53.41,,2020ApJ...893L..28V,4.6300,Mpc,T-RDB,2017AJ....153....6K
NGC4395 ULX-1,12 26 01.53,+33 31 30.6,X,2014MNRAS.442.1054H,4.7500,Mpc,T-RGB,2020ApJ...905..104K
M83 ULX-1,13 37 05.13,-29 52 07.1,X,2014ApJS..212...21L,4.8978,Mpc,redshift,2019A&A...631A..38L
M83 ULX-2,13 37 20.12,-29 53 47.7,,2005ApJS..157...59L,4.8978,Mpc,redshift,2019A&A...631A..38L
NGC5408 ULX-1,14 03 19.63,-41 22 58.7,X,2014MNRAS.442.1054H,5.3211,Mpc,redshift,2019A&A...631A..38L
SS433,19 11 49.5647,+04 58 57.827,O,2020yCat.1350....0G,5.5000,kpc,,2004ApJ...616L.159B
NGC6946 ULX-3,20 35 00.74,+60 11 30.6,,2004ApJS..154..519S,6.7298,Mpc,redshift,2019A&A...631A..38L
NGC6946 ULX-1,20 35 00.11,+60 09 08.5,X,2012ApJ...756...27L,6.7298,Mpc,redshift,2019A&A...631A..38L
M101 ULX-1,14 03 32.38,+54 21 03.0,X,2014MNRAS.442.1054H,7.1121,Mpc,redshift,2019A&A...631A..38L
M51 ULX-7,13 30 01.01,+47 13 43.9,X,2014MNRAS.442.1054H,7.6000,Mpc,redshift,2011MNRAS.413..813C
NGC5585 ULX,14 19 39.39,+56 41 37.8,X,2014MNRAS.442.1054H,7.8300,Mpc,,2016AJ....152...50T
NGC4559 ULX-1,12 35 51.71,+27 56 04.1,X,2014MNRAS.442.1054H,8.8700,Mpc,T-RGB,2020ApJ...905..104K
NGC925 ULX-1,02 27 27.53,+33 34 42.9,X,2014MNRAS.442.1054H,9.2045,Mpc,redshift,2019A&A...631A..38L
NGC925 ULX-2,02 27 21.52,+33 35 00.8,X,2014MNRAS.442.1054H,9.2045,Mpc,redshift,2019A&A...631A..38L
NGC7090 ULX-3,21 36 22.62,-54 32 34.6,X,2012MNRAS.419.2095M,9.5060,Mpc,redshift,2019A&A...631A..38L
NGC5907 ULX,15 15 58.60,+56 18 10.0,X,2011ApJ...741...49S,17.2187,Mpc,redshift,2019A&A...631A..38L
NGC1365 X-2,03 33 41.85,-36 07 31.4,,2009ApJ...692..443S,17.2982,Mpc,redshift,2019A&A...631A..38L
NGC1365 X-1,03 33 34.60,-36 09 35.0,,2005ApJS..157...59L,17.2982,Mpc,redshift,2019A&A...631A..38L
NGC1042 ULX-1,02 40 25.62,-08 24 28.9,X,2012ApJ...756...27L,19.2000,Mpc,,2007ApJ...661..801O
ESO 243-49 HLX-1,01 10 28.30,-46 04 22.3,X,2010ApJ...712L.107W,115.3500,Mpc,,2016AJ....152...50T
Swift J0243.6+6124,02 43 40.4252,+61 26 03.757,O,2020yCat.1350....0G,5509.6420,pc,paral,2020yCat.1350....0G
V404Cyg,20 24 03.8254,+33 52 01.962,O,2018yCat.1345....0G,,,,
SMC X-3,00 52 05.6251,-72 26 04.228,O,2020yCat.1350....0G,,,,
